transaction_dtm|bban|color|phone_number|lat|long|age
2013-07-07T00:56:46|CTGD18196001338908|DarkMagenta|863.794.0265x42351|-65.103727|23.971919|81
1976-07-31T21:34:03|JIGB78161849593103|Peru|001-316-475-2553x41928|-24.2840675|-92.273955|14
2001-06-16T12:57:29|JZQO50305641395376|SkyBlue|242.388.4969x65328|42.4771495|-131.193381|3
1973-03-17T02:00:42|WDER91669784801845|Chocolate|704-828-1489x32528|52.3657295|-179.692966|94
2010-10-04T20:21:46|IAYW43039117182278|DarkGoldenRod|(963)834-6578x71331|0.7541535|-168.707317|35
2010-01-13T11:49:05|OPAS03105183473829|Maroon|763.116.5667|-75.458534|170.821241|31
2013-12-21T21:14:08|CKIW33387262473178|CadetBlue|801.326.7736x02606|-18.8100965|64.280759|28
1989-05-30T21:47:37|KYZO72343098050097|LightSalmon|+1-208-121-9136x19399|-79.3319285|152.527916|17
1975-07-31T17:00:26|KPNY35346247510799|YellowGreen|3842513542|27.624274|111.637921|94
2017-11-16T13:54:41|HZUN84124118244935|DarkOliveGreen|487.401.6400x5242|28.6043165|116.181171|13
2018-01-08T11:01:50|LABW28059826204505|DarkOrange|158.692.3226|-83.3464605|-83.706478|86
2020-02-15T09:49:08|YUKR34216073375433|Aquamarine|(541)458-6850|-59.038186|-39.761159|94
1982-02-25T07:51:09|PZAP55698169340608|Tan|(356)159-5148x46564|58.8239675|-111.662882|69
1983-01-21T05:04:27|KYRX99468044369957|LawnGreen|872.148.9513x43320|-77.594599|-48.551162|11
2002-05-02T13:52:01|PTLX93676320163287|Black|172.788.9579|45.500356|49.104699|75
2007-04-14T10:21:01|LEWL34873471434558|Brown|623-166-5876|-73.2856745|-68.956633|54
1998-08-04T17:22:23|KUYA96705466889373|DeepPink|(656)272-9806x9901|82.5367955|50.109728|4
1979-03-27T19:53:40|WEGI75564641708053|MintCream|+1-003-309-2327x193|34.8316095|-42.430213|3
1995-02-07T22:32:35|EPTC24190496631931|Olive|919.058.6518|83.8235685|3.197093|11
1970-11-11T11:17:59|WVCY72628498776945|SeaGreen|+1-147-379-9650x7527|-33.059512|10.495200|27
1987-08-01T09:13:01|IWSH08313678377701|DodgerBlue|349-578-8568x55744|-22.5143395|-56.230831|29
1978-03-18T22:02:10|SITY23374989413435|DarkGreen|8240084271|-86.707532|128.198383|64
1989-05-08T07:00:56|MLEB71167190229413|Coral|+1-999-386-7749x649|76.7057525|-147.664102|77
